wilaya_code,home_delivery_price,office_delivery_price
01,600,400
02,600,400
03,600,400
04,600,400
05,600,400
06,600,400
07,600,400
08,600,400
09,600,400
10,600,400
11,1000,700
12,600,400
13,600,400
14,600,400
15,600,400
16,400,250
17,600,400
18,600,400
19,600,400
20,600,400
21,600,400
22,600,400
23,600,400
24,600,400
25,600,400
26,600,400
27,600,400
28,600,400
29,600,400
30,600,400
31,600,400
32,600,400
33,1200,800
34,600,400
35,600,400
36,600,400
37,1200,800
38,600,400
39,600,400
40,600,400
41,600,400
42,600,400
43,600,400
44,600,400
45,600,400
46,600,400
47,600,400
48,600,400
49,800,550
50,1200,800
51,600,400
52,800,550
53,1200,800
54,1200,800
55,600,400
56,1200,800
57,600,400
58,800,550
